Afghanistan,Afghan
Albania,Albanian
Algeria,Algerian
Andorra,Andorran
Angola,Angolan
Antigua and Barbuda,Antiguans,Barbudans
Argentina,Argentine,Argentinean
Armenia,Armenian
Australia,Australian,Ozzie,Aussie
Austria,Austrian
Azerbaijan,Azerbaijani
The Bahamas,Bahamian
Bahrain,Bahraini
Bangladesh,Bangladeshi
Barbados,Barbadian,Bajuns
Belarus,Belarusian
Belgium,Belgian
Belize,Belizean
Benin,Beninese
Bhutan,Bhutanese
Bolivia,Bolivian
Bosnia and Herzegovina,Bosnian,Herzegovinian
Botswana,Motswana,Batswana
Brazil,Brazilian
Brunei,Bruneian
Bulgaria,Bulgarian
Burkina Faso,Burkinabe
Burundi,Burundian
Cambodia,Cambodian
Cameroon,Cameroonian
Canada,Canadian
Cape Verde,Cape Verdian,Cape Verdean
Central African Republic,Central African
Chad,Chadian
Chile,Chilean
China,Chinese
Colombia,Colombian
Comoros,Comoran
Congo,Republic of the,Congolese
Congo,Democratic Republic of the,Congolese
Costa Rica,Costa Rican
Cote d'Ivoire,Ivorian
Croatia,Croat,Croatian
Cuba,Cuban
Cyprus,Cypriot
Czech Republic,Czech
Denmark,Dane,Danish
Djibouti,Djibouti
Dominica,Dominican
Dominican Republic,Dominican
Ecuador,Ecuadorean
Egypt,Egyptian
El Salvador,Salvadoran
Equatorial Guinea,Equatorial Guinean,Equatoguinean
Eritrea,Eritrean
Estonia,Estonian
Ethiopia,Ethiopian
Fiji,Fijian
Finland,Finn,Finnish
France,French,Frenchman,Frenchwoman
Gabon,Gabonese
The Gambia,Gambian
Georgia,Georgian
Germany,German
Ghana,Ghanaian
Greece,Greek
Grenada,Grenadian,Grenadan
Guatemala,Guatemalan
Guinea,Guinean
Guinea-Bissau,Guinea-Bissauan
Guyana,Guyanese
Haiti,Haitian
Honduras,Honduran
Hungary,Hungarian
Iceland,Icelander
India,Indian
Indonesia,Indonesian
Iran,Iranian
Iraq,Iraqi
Ireland,Irishman,Irishwoman,Irish
Israel,Israeli
Italy,Italian
Jamaica,Jamaican
Japan,Japanese
Jordan,Jordanian
Kazakhstan,Kazakhstani
Kenya,Kenyan
Kiribati,I-Kiribati
South Korea,Korea,Korean
North Korea
Kuwait,Kuwaiti
Kyrgyz Republic,Kyrgyz,Kirghiz
Laos,Lao,Laotian
Latvia,Latvian
Lebanon,Lebanese
Lesotho,Mosotho
Liberia,Liberian
Libya,Libyan
Liechtenstein,Liechtensteiner
Lithuania,Lithuanian
Luxembourg,Luxembourger
Macedonia,Macedonian
Madagascar,Malagasy
Malawi,Malawian
Malaysia,Malaysian
Maldives,Maldivan
Mali,Malian
Malta,Maltese
Marshall Islands,Marshallese
Mauritania,Mauritanian
Mauritius,Mauritian
Mexico,Mexican,Hispanic
Federated States of Micronesia,Micronesian
Moldova,Moldovan
Monaco,Monegasque,Monacan
Mongolia,Mongolian
Montenegro,Montenegrin
Morocco,Moroccan
Mozambique,Mozambican
Myanmar,Burma,Burmese,Myanmarese
Namibia,Namibian
Nauru,Nauruan
Nepal,Nepalese
Netherlands,Netherlander,Dutchman,Dutchwoman,Hollander,Dutch
New Zealand,New Zealander,Kiwi
Nicaragua,Nicaraguan
Niger,Nigerien
Nigeria,Nigerian
Norway,Norwegian
Oman,Omani
Pakistan,Pakistani
Palau,Palauan
Panama,Panamanian
Papua New Guinea,Papua New Guinean
Paraguay,Paraguayan
Peru,Peruvian
Philippines,Filipino
Poland,Pole,Polish
Portugal,Portuguese
Qatar,Qatari
Romania,Romanian
Russia,Russian
Rwanda,Rwandan
Saint Kitts and Nevis,Kittian and Nevisian
Saint Lucia,Saint Lucian
Samoa,Samoan
San Marino,Sammarinese,San Marinese
Sao Tome and Principe,Sao Tomean
Saudi Arabia,Saudi,Saudi Arabian
Senegal,Senegalese
Serbia,Serbian
Seychelles,Seychellois
Sierra Leone,Sierra Leonean
Singapore,Singaporean
Slovakia,Slovak,Slovakian,Slav
Slovenia,Slovene,Slovenian
Solomon Islands,Solomon Islander
Somalia,Somali
South Africa,South African
Spain,Spaniard,Spanish
Sri Lanka,Sri Lankan
Sudan,Sudanese
Suriname,Surinamer
Swaziland,Swazi
Sweden,Swede,Swedish
Switzerland,Swiss
Syria,Syrian
Taiwan,Taiwanese
Tajikistan,Tajik,Tadzhik
Tanzania,Tanzanian
Thailand,Thai
Togo,Togolese
Tonga,Tongan
Trinidad and Tobago,Trinidadian,Tobagonian
Tunisia,Tunisian
Turkey,Turk,Turkish
Turkmenistan,Turkmen(s)
Tuvalu,Tuvaluan
Uganda,Ugandan
Ukraine,Ukrainian
United Arab Emirates,Emirian
United Kingdom,Briton,British,Englishman,Englishwoman,Scot,Scotsman,Scotswoman,Welshman,Welshwoman,Irishman,Irishwoman,Irish
United States,American,New York,Utah,California
Uruguay,Uruguayan
Uzbekistan,Uzbek,Uzbekistani
Vanuatu,Ni-Vanuatu
Venezuela,Venezuelan
Vietnam,Vietnamese
Yemen,Yemeni,Yemenite
Zambia,Zambian
Zimbabwe,Zimbabwean